Step,AgentID,Wealth,Position,Order
18,follower_5,856.8256879685362,buy,1
18,rnd_trader_2,,buy,1
18,saver_13,981.1218528144428,sell,0
18,follower_0,855.1256879685362,buy,1
18,saver_16,1012.1584000000001,sell,0
18,saver_0,959.4722344504197,buy,0
18,saver_6,982.7224221158256,buy,5
19,follower_4,849.4120056782494,buy,1
19,saver_2,1047.29,buy,0
19,saver_1,993.90665856,buy,0
19,follower_3,799.5901694024712,sell,1
19,saver_7,1052.6815885485664,buy,5
19,rnd_trader_0,,buy,1
19,saver_9,1089.451852814443,buy,0
19,rnd_trader_4,,buy,1
19,rnd_trader_1,,buy,1
19,saver_3,1080.4115885485664,buy,5
19,saver_12,901.3,buy,0
19,saver_8,939.77,buy,0
19,saver_14,1012.9766585599999,sell,0
19,saver_11,955.64,buy,0
19,saver_5,951.1984,buy,0
19,saver_15,943.06,sell,0
19,saver_17,1020.2793122965384,sell,0
19,follower_2,790.0253633688591,buy,1
19,saver_10,944.09,buy,0
19,saver_4,966.581852814443,buy,0
19,rnd_trader_3,,buy,1
19,rnd_trader_5,,sell,1
19,follower_1,851.0301694024713,sell,1
19,follower_5,853.2820056782494,buy,1
19,rnd_trader_2,,sell,1
19,saver_13,981.1218528144428,sell,0
19,follower_0,851.5820056782495,buy,1
19,saver_16,1012.1584000000001,sell,0
19,saver_0,959.4722344504197,buy,0
19,saver_6,982.7224221158256,buy,0
20,follower_4,874.8518034891763,sell,1
20,saver_2,1047.29,buy,0
20,saver_1,993.90665856,buy,0
20,follower_3,818.0749119382795,buy,1
20,saver_7,1052.6815885485664,buy,0
20,rnd_trader_0,,sell,1
20,saver_9,1089.451852814443,buy,0
20,rnd_trader_4,,sell,1
20,rnd_trader_1,,buy,1
20,saver_3,1080.4115885485664,buy,0
20,saver_12,901.3,buy,0
20,saver_8,939.77,buy,0
20,saver_14,1012.9766585599999,sell,0
20,saver_11,955.64,buy,0
20,saver_5,951.1984,buy,0
20,saver_15,943.06,sell,0
20,saver_17,1020.2793122965384,sell,0
20,follower_2,800.0253633688591,buy,1
20,saver_10,966.8910109453658,buy,5
20,saver_4,966.581852814443,buy,0
20,rnd_trader_3,,buy,1
20,rnd_trader_5,,sell,1
20,follower_1,869.5149119382795,buy,1
20,follower_5,878.7218034891763,sell,1
20,rnd_trader_2,,sell,1
20,saver_13,981.1218528144428,sell,0
20,follower_0,877.0218034891764,sell,1
20,saver_16,1012.1584000000001,sell,0
20,saver_0,959.4722344504197,buy,0
20,saver_6,982.7224221158256,buy,0
21,follower_4,896.036176324495,buy,1
21,saver_2,1047.29,buy,0
21,saver_1,993.90665856,buy,0
21,follower_3,812.1719201930248,buy,1
21,saver_7,1052.6815885485664,buy,0
21,rnd_trader_0,,buy,1
21,saver_9,1089.451852814443,buy,0
21,rnd_trader_4,,sell,1
21,rnd_trader_1,,sell,1
21,saver_3,1080.4115885485664,buy,0
21,saver_12,901.3,buy,0
21,saver_8,939.77,buy,0
21,saver_14,1012.9766585599999,sell,0
21,saver_11,955.64,buy,0
21,saver_5,951.1984,buy,0
21,saver_15,943.06,sell,0
21,saver_17,1020.2793122965384,sell,0
21,follower_2,825.9283551141137,sell,1
21,saver_10,966.8910109453658,buy,0
21,saver_4,966.581852814443,buy,0
21,rnd_trader_3,,sell,1
21,rnd_trader_5,,buy,1
21,follower_1,863.6119201930248,buy,1
21,follower_5,899.906176324495,buy,1
21,rnd_trader_2,,sell,1
21,saver_13,981.1218528144428,sell,0
21,follower_0,898.2061763244951,buy,1
21,saver_16,1012.1584000000001,sell,0
