Step,AgentID,Wealth,Position,Order
11,rnd_trader_5,279.8023543354605,sell,1
11,saver_15,943.06,sell,0
11,saver_0,960.2046258126029,buy,0
11,saver_1,995.02319136,buy,0
11,rnd_trader_2,279.4123543354605,sell,1
11,follower_0,754.1454901831672,buy,1
11,saver_9,1040.26,buy,0
11,saver_13,931.93,sell,0
11,follower_3,697.8654901831671,buy,1
11,rnd_trader_4,267.5623543354605,buy,1
12,saver_3,1048.13,buy,0
12,saver_12,901.3,buy,0
12,saver_8,939.77,buy,0
12,saver_14,1014.09319136,sell,0
12,follower_2,717.3349655700472,buy,1
12,saver_11,955.64,buy,0
12,saver_5,952.3816,buy,0
12,rnd_trader_0,308.769044612933,sell,1
12,follower_4,761.9754901831672,buy,1
12,saver_6,943.73,buy,0
12,rnd_trader_3,275.54904461293296,buy,1
12,saver_2,1047.29,buy,0
12,follower_5,762.2018181492931,buy,1
12,saver_7,1020.4,buy,0
12,saver_17,975.99,sell,0
12,saver_16,1013.3416000000002,sell,0
12,rnd_trader_1,256.069044612933,sell,1
12,saver_4,917.39,buy,0
12,saver_10,944.09,buy,0
12,follower_1,746.6310707131139,buy,1
12,rnd_trader_5,271.019044612933,buy,1
12,saver_15,943.06,sell,0
12,saver_0,960.2046258126029,buy,0
12,saver_1,995.02319136,buy,0
12,rnd_trader_2,270.629044612933,buy,1
12,follower_0,764.1454901831672,buy,1
12,saver_9,1040.26,buy,0
12,saver_13,931.93,sell,0
12,follower_3,707.8654901831671,buy,1
12,rnd_trader_4,258.779044612933,buy,1
13,saver_3,1048.13,buy,0
13,saver_12,901.3,buy,0
13,saver_8,939.77,buy,0
13,saver_14,1014.09319136,sell,0
13,follower_2,727.3349655700472,buy,1
13,saver_11,955.64,buy,0
13,saver_5,952.3816,buy,0
13,rnd_trader_0,299.20307011260326,buy,1
13,follower_4,782.5414646834969,sell,1
13,saver_6,943.73,buy,0
13,rnd_trader_3,265.98307011260323,sell,1
13,saver_2,1047.29,buy,0
13,follower_5,761.6358436489634,sell,1
13,saver_7,1020.4,buy,0
13,saver_17,1023.1601274983514,sell,5
13,saver_16,1013.3416000000002,sell,0
13,rnd_trader_1,246.50307011260327,buy,1
13,saver_4,917.39,buy,0
13,saver_10,944.09,buy,0
13,follower_1,767.1970452134436,sell,1
13,rnd_trader_5,261.45307011260326,buy,1
13,saver_15,943.06,sell,0
13,saver_0,960.2046258126029,buy,0
13,saver_1,995.02319136,buy,0
13,rnd_trader_2,261.06307011260327,sell,1
13,follower_0,784.711464683497,sell,1
13,saver_9,1040.26,buy,0
13,saver_13,931.93,sell,0
13,follower_3,728.4314646834969,sell,1
13,rnd_trader_4,249.21307011260325,buy,1
14,saver_3,1048.13,buy,0
14,saver_12,901.3,buy,0
14,saver_8,939.77,buy,0
14,saver_14,1014.09319136,sell,0
14,follower_2,747.1613218553539,sell,1
14,saver_11,955.64,buy,0
14,saver_5,952.3816,buy,0
14,rnd_trader_0,290.3767138272966,sell,1
14,follower_4,792.5414646834969,sell,1
14,saver_6,943.73,buy,0
14,rnd_trader_3,257.1567138272966,sell,1
14,saver_2,1047.29,buy,0
14,follower_5,771.6358436489634,sell,1
14,saver_7,1020.4,buy,0
14,saver_17,1023.1601274983514,sell,0
14,saver_16,1013.3416000000002,sell,0
14,rnd_trader_1,237.67671382729662,buy,1
14,saver_4,917.39,buy,0
14,saver_10,944.09,buy,0
14,follower_1,777.1970452134436,sell,1
14,rnd_trader_5,252.6267138272966,buy,1
14,saver_15,943.06,sell,0
14,saver_0,960.2046258126029,buy,0
14,saver_1,995.02319136,buy,0
14,rnd_trader_2,252.23671382729663,sell,1
14,follower_0,794.711464683497,sell,1
14,saver_9,1040.26,buy,0
14,saver_13,931.93,sell,0
14,follower_3,738.4314646834969,sell,1
14,rnd_trader_4,240.3867138272966,buy,1
15,saver_3,1048.13,buy,0
15,saver_12,901.3,buy,0
15,saver_8,939.77,buy,0
15,saver_14,1014.09319136,sell,0
15,follower_2,747.9245469471656,buy,1
15,saver_11,955.64,buy,0
15,saver_5,952.3816,buy,0
15,rnd_trader_0,282.1399389191084,sell,1
15,follower_4,802.5414646834969,sell,1
15,saver_6,943.73,buy,0
