,Price
160,15.732373584099498
161,16.204344791622482
162,14.907997208292684
163,14.907997208292684
164,13.119037543297562
165,13.906179795895415
166,15.43585957344391
167,14.509707999037275
168,15.38029047897951
169,14.611275955030536
170,14.611275955030536
171,14.319050435929924
172,13.459907409774129
173,12.652312965187681
174,13.664498002402695
175,14.757657842594911
176,15.200387577872759
177,15.504395329430213
178,16.124571142607422
179,16.124571142607422
180,16.285816854033495
181,16.937249528194833
182,16.937249528194833
183,16.937249528194833
184,16.598504537630937
185,18.092369946017723
186,18.092369946017723
187,18.81606474385843
188,17.122618916911172
189,16.78016653857295
190,16.78016653857295
191,16.78016653857295
192,14.766546553944195
193,16.538532140417498
194,17.861614711650898
195,18.75469544723344
196,18.75469544723344
197,18.004507629344104
198,19.084778087104752
199,18.130539182749516
200,19.218371533714485
201,18.834004103040197
202,17.32728377479698
203,18.02037512578886
204,20.002616389625633
205,19.20251173404061
206,18.434411264678985
207,16.775314250857875
208,16.775314250857875
209,16.775314250857875
210,16.10430168082356
211,15.782215647207089
212,17.67608152487194
213,15.554951741887308
214,16.64379836381942
215,17.309550298372198
216,16.61716828643731
217,16.61716828643731
218,17.11568333503043
219,17.800310668431646
220,18.15631688180028
221,17.793190544164275
222,18.14905435504756
223,18.330544898598035
224,19.063766694541957
225,20.207592696214476
226,20.40966862317662
227,22.042442113030752
228,19.39734905946706
229,17.845561134709698
230,18.559383580098086
231,19.30175892330201
232,17.37158303097181
233,17.545298861281527
234,16.492580929604635
235,15.83287769242045
236,16.782850353965678
237,17.621992871663963
238,17.97443272909724
239,19.41238734742502
240,18.24764410657952
241,17.517738342316342
242,19.795044326817468
243,18.60734166720842
244,19.351635333896755
245,17.997020860523982
246,17.277140026103023
247,17.277140026103023
248,17.968225627147145
249,15.452674039346544
250,18.234155366428922
251,17.504789151771764
252,16.27945391114774
253,16.93063206759365
254,17.946469991649266
255,17.587540591816282
256,17.41166518589812
257,17.75989848961608
258,19.53588833857769
259,21.098759405663905
260,21.520734593777185
261,22.1663566315905
262,20.83637523369507
263,23.336740261738477
264,19.369494417242937
265,20.91905397062237
266,22.174197208859713
267,22.61768115303691
268,23.97474202221912
269,24.454236862663503
270,26.89966054892985
271,28.244643576376344
272,27.11485783332129
273,29.284046459986996
274,29.869727389186735
275,31.363213758646072
276,28.226892382781465
